"cout";"distanceTotale";"nbcentres"
190402.313773292;204252.892216615;9
181902.028465953;193627.535582441;9
177952.202048401;188690.252560501;9
171683.173171248;180853.96646406;9
167598.135054763;175747.668818454;9
163695.584036209;170869.480045261;9
161776.640324172;168470.800405215;9
160837.944423335;167297.430529169;9
160095.756942671;166369.696178339;9
159483.574361565;165604.467951957;9
159059.052697481;165073.815871852;9
157249.244666788;162811.555833485;9
156226.012815834;161532.516019792;9
155066.063423598;160082.579279497;9
153090.28791293;157612.859891162;9
152583.19293075;156978.991163437;9
151257.695586556;155322.119483195;9
150929.254480639;154911.568100798;9
150502.292153136;154377.86519142;9
147863.648927892;151079.561159865;9
146799.007148449;149748.758935561;9
145871.84566485;148589.807081063;9
144096.29557622;146370.369470275;9
142466.629968725;144333.287460906;9
141011.472976999;142514.341221249;9
140679.183964492;142098.979955615;9
139899.315874163;141124.144842704;9
139335.403464764;140419.254330955;9
139063.508335963;140079.385419953;9
138583.432757908;139479.290947385;9
138355.576792724;139194.470990904;9
138099.464530784;138874.330663479;9
137773.307434995;138466.634293744;9
137585.598128246;138231.997660307;9
137480.41137855;138100.514223188;9
137113.86049223;137642.325615288;9
136295.55127235;136619.439090437;9
136072.45655264;136340.570690799;9
135441.266537123;135551.583171404;9
135181.400319146;135226.750398932;9
134622.280541737;134527.850677172;9
134409.311025033;134261.638781291;9
133032.003514703;132540.004393378;9
132681.087728248;132101.359660309;9
131676.712714953;130845.890893692;9
131503.181608114;130628.977010142;9
131247.983330407;130309.979163009;9
130305.272173911;129131.590217389;9
130259.742984587;129074.678730734;9
129661.589763341;128326.987204177;9
129180.118233294;127725.147791617;9
129082.526366176;127603.157957721;9
128241.092055166;126551.365068958;9
127489.421891525;125611.777364407;9
127489.421891525;125611.777364407;9
127097.277189949;125121.596487436;9
126554.580719408;124443.22589926;9
125954.078989531;123692.598736914;9
125711.832400208;123389.790500261;9
123926.989601551;121158.737001938;9
123255.824125232;120319.78015654;9
123204.234694945;120255.293368681;9
122885.710519721;119857.138149652;9
122691.422755446;119614.278444308;9
122041.29757243;118801.621965537;9
121937.184859915;118671.481074893;9
121670.675061691;118338.343827113;9
121509.123570456;118136.404463069;9
121050.677066216;117563.34633277;9
119046.639813163;115058.299766454;9
117957.433627533;113696.792034417;9
117977.905275088;113722.38159386;9
117910.565927449;113638.207409311;9
117830.05887716;113537.57359645;9
117649.7857972;113312.2322465;9
117349.696620735;112937.120775918;9
117348.780899746;112935.976124683;9
117248.74662257;112810.933278213;9
116960.599118259;112450.748897823;9
115025.840368609;110032.300460761;9
114981.209901891;109976.512377364;9
114173.032530359;108966.290662949;9
112458.029305284;106822.536631605;9
112156.121467929;106445.151834911;9
111976.575813198;106220.719766497;9
111764.831795138;105956.039743922;9
111458.500291445;105573.125364307;9
111009.775228776;105012.21903597;9
110904.826764517;104881.033455646;9
110567.758088654;104459.697610818;9
110567.758088654;104459.697610818;9
110248.995515939;104061.244394923;9
110134.304598222;103917.880747778;9
110026.66292258;103783.328653226;9
109936.318640054;103670.398300068;9
109463.485315885;103079.356644856;9
109114.985324411;102643.731655514;9
108885.001189487;102356.251486859;9
108841.188266351;102301.485332938;9
108841.145364287;102301.431705359;9
108627.64977307;102034.562216337;9
108567.051635475;101958.814544343;9
108509.644031183;101887.055038978;9
108373.354203102;101716.692753878;9
108329.057251662;101661.321564577;9
108093.616472666;101367.020590832;9
108035.942133513;101294.927666891;9
107941.804025736;101177.25503217;9
107850.519995864;101063.14999483;9
107884.6942577;101105.867822124;9
107802.525750977;101003.157188722;9
107734.306937813;100917.883672266;9
107293.592343867;100366.990429833;9
106634.592684463;99543.2408555788;9
106634.592684463;99543.2408555788;9
105900.701925512;98625.8774068905;9
105900.701925512;98625.8774068905;9
105298.74839687;97873.4354960878;9
105235.110739588;97793.8884244853;9
104777.261730233;97221.5771627909;9
104469.540575041;96836.9257188006;9
104469.540575041;96836.9257188006;9
104469.540575041;96836.9257188006;9
104360.957299219;96701.1966240238;9
104271.421912587;96589.2773907335;9
104207.099598036;96508.8744975452;9
104150.810747432;96438.5134342903;9
104113.415797937;96391.7697474215;9
104096.998758918;96371.2484486469;9
104019.582625172;96274.4782814644;9
103713.206947563;95891.5086844537;9
103713.206947563;95891.5086844537;9
103713.206947563;95891.5086844537;9
103713.206947563;95891.5086844537;9
103729.732188436;92162.1652355444;10
102701.689916873;90877.1123960916;10
102661.743291496;90827.1791143698;10
101641.211175029;89551.5139687857;10
101574.607801562;89468.259751953;10
100956.464889209;88695.5811115115;10
100921.366500411;88651.7081255134;10
100460.798478927;88075.9980986582;10
100211.455979767;87764.3199747082;10
99854.3123170168;87317.890396271;10
99347.1296112061;86683.9120140076;10
98488.1688435607;85610.2110544508;10
96401.8062486231;83002.2578107788;10
95161.09209966;81451.365124575;10
95090.049900133;81362.5623751663;10
94604.7358981681;80755.9198727101;10
94593.551249011;80741.9390612638;10
94506.8795434779;80633.5994293474;10
93794.7810371124;79743.4762963905;10
93786.167173378;79732.7089667224;10
93626.5532559396;79533.1915699244;10
93626.5532559396;79533.1915699244;10
93180.9536684234;78976.1920855293;10
92981.4434768955;78726.8043461194;10
92981.4434768955;78726.8043461194;10
92981.4434768955;78726.8043461194;10
92798.6955498579;78498.3694373224;10
92503.1979157053;78128.9973946316;10
92101.5466271714;77626.9332839642;10
92101.5466271714;77626.9332839642;10
91740.2379061901;77175.2973827377;10
91217.541341202;76521.9266765025;10
91078.8153788561;76348.5192235702;10
90437.305652446;75546.6320655575;10
90288.06451639;75360.0806454875;10
87728.54022686;72160.675283575;10
87549.0046526275;71936.2558157843;10
87549.0046526275;71936.2558157843;10
87560.1893017845;71950.2366272307;10
87560.1893017845;71950.2366272307;10
87475.3168071674;71844.1460089593;10
86725.1606691294;70906.4508364118;10
86660.1749033451;70825.2186291814;10
86132.0463362015;70165.0579202519;10
85536.8577170744;69421.0721463429;10
82892.6591175079;66115.8238968848;10
82601.6550316834;65752.0687896043;10
81464.4219909312;64330.527488664;10
81183.633863078;63979.5423288475;10
80606.4020056671;63258.0025070839;10
80606.4020056671;63258.0025070839;10
80606.4020056671;63258.0025070839;10
79346.713920008;61683.39240001;10
79346.713920008;61683.39240001;10
79045.4553883063;61306.8192353829;10
78865.1043362447;61081.3804203059;10
78865.1043362447;61081.3804203059;10
78865.1043362447;61081.3804203059;10
78807.9787723772;61009.9734654715;10
78807.9787723772;61009.9734654715;10
77864.1387775882;59830.1734719852;10
77864.1387775882;59830.1734719852;10
77864.1387775882;59830.1734719852;10
77864.1387775882;59830.1734719852;10
77864.1387775882;59830.1734719852;10
77676.1945821474;59595.2432276842;10
77676.1945821474;59595.2432276842;10
77626.3604177082;59532.9505221353;10
77626.3604177082;59532.9505221353;10
77526.8023451298;59408.5029314123;10
77487.3031098688;59359.128887336;10
76775.6362229156;58469.5452786446;10
76622.8883199118;58278.6103998898;10
76622.8883199118;58278.6103998898;10
76622.8883199118;58278.6103998898;10
76143.0652041777;57678.8315052221;10
76070.778945508;57588.473681885;10
76070.778945508;57588.473681885;10
75810.2458565503;57262.8073206879;10
75810.2458565503;57262.8073206879;10
75376.2466710768;56720.308338846;10
75243.3195522102;56554.1494402628;10
75243.3195522102;56554.1494402628;10
75243.3195522102;56554.1494402628;10
75243.3195522102;56554.1494402628;10
75088.7266024588;56360.9082530735;10
75088.7266024588;56360.9082530735;10
74542.2305150002;55677.7881437502;10
74542.2305150002;55677.7881437502;10
74542.2305150002;55677.7881437502;10
74542.2305150002;55677.7881437502;10
74542.2305150002;55677.7881437502;10
74157.7123033724;55197.1403792155;10
74157.7123033724;55197.1403792155;10
74157.7123033724;55197.1403792155;10
74023.8970766474;55029.8713458092;10
73763.1162217555;54703.8952771944;10
73763.1162217555;54703.8952771944;10
73763.1162217555;54703.8952771944;10
73763.1162217555;54703.8952771944;10
73763.1162217555;54703.8952771944;10
73763.1162217555;54703.8952771944;10
73763.1162217555;54703.8952771944;10
73763.1162217555;54703.8952771944;10
73191.4644756943;53989.3305946179;10
73077.4347561356;53846.7934451695;10
73009.8496492082;53762.3120615103;10
72420.8675782075;53026.0844727593;10
72420.8675782075;53026.0844727593;10
72420.8675782075;53026.0844727593;10
72420.8675782075;53026.0844727593;10
72009.7649479096;52512.206184887;10
72009.7649479096;52512.206184887;10
72009.7649479096;52512.206184887;10
72009.7649479096;52512.206184887;10
72009.7649479096;52512.206184887;10
71999.0938020592;52498.8672525739;10
71999.0938020592;52498.8672525739;10
71780.9374531691;52226.1718164613;10
71780.9374531691;52226.1718164613;10
71780.9374531691;52226.1718164613;10
71786.9574202505;52233.6967753132;10
71595.0325929343;51993.7907411679;10
71595.0325929343;51993.7907411679;10
71595.0325929343;51993.7907411679;10
71589.0126258528;51986.265782316;10
71589.0126258528;51986.265782316;10
71589.0126258528;51986.265782316;10
71589.0126258528;51986.265782316;10
71589.0126258528;51986.265782316;10
71589.0126258528;51986.265782316;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71367.7893454982;51709.7366818727;10
71367.7893454982;51709.7366818727;10
71367.7893454982;51709.7366818727;10
71358.5786103835;51698.2232629794;10
71358.5786103835;51698.2232629794;10
71312.9809106494;51641.2261383117;10
71074.8048495935;51343.5060619919;10
71074.8048495935;51343.5060619919;10
71074.8048495935;51343.5060619919;10
71074.8048495935;51343.5060619919;10
70716.1575918334;50895.1969897918;10
70716.1575918334;50895.1969897918;10
70716.1575918334;50895.1969897918;10
70716.1575918334;50895.1969897918;10
70516.1413321531;50645.1766651914;10
70396.0768973432;50495.0961216791;10
70396.0768973432;50495.0961216791;10
70329.3522680205;50411.6903350256;10
70329.3522680205;50411.6903350256;10
70255.7043601205;50319.6304501506;10
70255.7043601205;50319.6304501506;10
70255.7043601205;50319.6304501506;10
70255.7043601205;50319.6304501506;10
70255.7043601205;50319.6304501506;10
70255.7043601205;50319.6304501506;10
70255.7043601205;50319.6304501506;10
70293.1112427216;50366.389053402;10
70293.1112427216;50366.389053402;10
70293.1112427216;50366.389053402;10
70293.1112427216;50366.389053402;10
70273.0685819039;50341.3357273799;10
70273.0685819039;50341.3357273799;10
70273.0685819039;50341.3357273799;10
70243.4754149988;50304.3442687485;10
70243.4754149988;50304.3442687485;10
70206.0685323977;50257.5856654971;10
70206.0685323977;50257.5856654971;10
70206.0685323977;50257.5856654971;10
70206.0685323977;50257.5856654971;10
70206.0685323977;50257.5856654971;10
69781.5282411262;49726.9103014077;10
69517.9336420906;49397.4170526132;10
69517.9336420906;49397.4170526132;10
69517.9336420906;49397.4170526132;10
69517.9336420906;49397.4170526132;10
68945.2257100097;48681.5321375121;10
68945.2257100097;48681.5321375121;10
68945.2257100097;48681.5321375121;10
68945.2257100097;48681.5321375121;10
68395.7215224693;47994.6519030866;10
68395.7215224693;47994.6519030866;10
68371.7028901913;47964.6286127391;10
68371.7028901913;47964.6286127391;10
68371.7028901913;47964.6286127391;10
68371.7028901913;47964.6286127391;10
68371.7028901913;47964.6286127391;10
68371.7028901913;47964.6286127391;10
68371.7028901913;47964.6286127391;10
68305.3635989396;47881.7044986745;10
68305.3635989396;47881.7044986745;10
68305.3635989396;47881.7044986745;10
68305.3635989396;47881.7044986745;10
68305.3635989396;47881.7044986745;10
68305.3635989396;47881.7044986745;10
68305.3635989396;47881.7044986745;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68307.2590591163;47884.0738238954;10
68307.2590591163;47884.0738238954;10
68307.2590591163;47884.0738238954;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68305.3635989396;47881.7044986745;10
68305.3635989396;47881.7044986745;10
68305.3635989396;47881.7044986745;10
68285.8569256634;47857.3211570792;10
68285.8569256634;47857.3211570792;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68274.9341834642;47843.6677293303;10
68274.9341834642;47843.6677293303;10
68274.9341834642;47843.6677293303;10
68274.9341834642;47843.6677293303;10
68095.6883839884;47619.6104799855;10
68095.6883839884;47619.6104799855;10
68095.6883839884;47619.6104799855;10
68151.7896146601;47689.7370183252;10
68151.7896146601;47689.7370183252;10
68151.7896146601;47689.7370183252;10
68151.7896146601;47689.7370183252;10
68151.7896146601;47689.7370183252;10
68151.7896146601;47689.7370183252;10
68151.7896146601;47689.7370183252;10
68151.7896146601;47689.7370183252;10
68151.7896146601;47689.7370183252;10
68151.7896146601;47689.7370183252;10
68146.1441409928;47682.680176241;10
68150.2686478976;47687.835809872;10
68150.2686478976;47687.835809872;10
68150.2686478976;47687.835809872;10
68150.2686478976;47687.835809872;10
68150.2686478976;47687.835809872;10
68146.1441409928;47682.680176241;10
68146.1441409928;47682.680176241;10
68146.1441409928;47682.680176241;10
68146.1441409928;47682.680176241;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68134.8529263197;47668.5661578996;10
68108.9638349017;47636.2047936271;10
68104.7861405296;47630.9826756621;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68080.2194749433;47600.2743436791;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68104.7861405296;47630.9826756621;10
68004.6251402774;47505.7814253467;10
68004.6251402774;47505.7814253467;10
68004.6251402774;47505.7814253467;10
68004.6251402774;47505.7814253467;10
68004.6251402774;47505.7814253467;10
68004.6251402774;47505.7814253467;10
68004.6251402774;47505.7814253467;10
68004.6251402774;47505.7814253467;10
68004.6251402774;47505.7814253467;10
68004.6251402774;47505.7814253467;10
68004.6251402774;47505.7814253467;10
68004.6251402774;47505.7814253467;10
68004.6251402774;47505.7814253467;10
68004.6251402774;47505.7814253467;10
68004.6251402774;47505.7814253467;10
68032.2589795341;47540.3237244176;10
68032.2589795341;47540.3237244176;10
68032.2589795341;47540.3237244176;10
68032.2589795341;47540.3237244176;10
68032.2589795341;47540.3237244176;10
68032.2589795341;47540.3237244176;10
68195.7838140733;47744.7297675916;10
68195.7838140733;47744.7297675916;10
68196.2789325817;47745.3486657271;10
68196.2789325817;47745.3486657271;10
68181.9580163339;47727.4475204174;10
68018.4331817947;47523.0414772434;10
68018.4331817947;47523.0414772434;10
67957.8028153656;47447.253519207;10
67957.8028153656;47447.253519207;10
67926.284310437;47407.8553880463;10
67926.284310437;47407.8553880463;10
67926.284310437;47407.8553880463;10
67926.284310437;47407.8553880463;10
67926.284310437;47407.8553880463;10
67729.1945618082;47161.4932022603;10
67729.1945618082;47161.4932022603;10
67729.1945618082;47161.4932022603;10
67729.1945618082;47161.4932022603;10
67672.2578810711;47090.3223513389;10
